gender_exclusive,gender_inclusive,difficulty,origin
El acceso a derechos es básico para el hombre.,El acceso a derechos es básico para las personas.,persona_generica,guia_CONICET
La deudora tiene dificultades para saldar sus préstamos debido a la falta de ingresos.,La persona deudora tiene dificultades para saldar sus préstamos debido a la falta de ingresos.,terminologia,GPT-3.5_fewshot
"Mientras tanto , el espectador comenzaba a impacientarse","Mientras tanto , la audiencia comenzaba a impacientarse",dificultades_variadas,neutral_es
Todos los asistentes al viaje recibirán un dossier explicativo,Cada asistente al viaje recibirá un dossier explicativo,dificultades_variadas,neutral_es
La sociedad debe trabajar para eliminar el estigma asociado con la discapacidad.,La sociedad debe trabajar para eliminar el estigma asociado con la discapacidad.,terminologia,GPT-3.5_fewshot
La herencia cultural aragonesa se puede ver en las festividades y en la arquitectura de los aragoneses.,La herencia cultural aragonesa se puede ver en las festividades y en la arquitectura del pueblo aragonés.,culturas,GPT-3.5_fewshot
La normativa se dirige a los voluntarios y les explicaba sus deberes y obligaciones,La normativa se dirige al voluntariado y les explicaba sus deberes y obligaciones,dificultades_variadas,neutral_es
La gastronomía gallega es apreciada por los gallegos y por los visitantes.,La gastronomía gallega es apreciada por el pueblo gallego y por los visitantes.,culturas,GPT-3.5_fewshot
Bienvenidos a la ayuda general del espacio Abierto al Público del Portal ABC,Bienvenidos y bienvenidas a la ayuda general del espacio Abierto al Público del Portal ABC,dificultades_variadas,neutral_es
Otro campo de acción importante fueron los hospitales donde se trabaja con los enfermeros de manera estrecha,Otro campo de acción importante fueron los hospitales donde se trabaja con el personal sanitario de manera estrecha,dificultades_variadas,neutral_es
Dichos estudiantes asistirán al seminario sobre liderazgo.,Tales estudiantes asistirán al seminario sobre liderazgo.,persona_generica,GPT-3.5_fewshot
Los últimos acontecimientos políticos han tenido en vilo a los catalanes,Los últimos acontecimientos políticos han tenido en vilo al pueblo catalán,culturas,human
"No obstante , la información exacta sobre lo que se le paga a una persona liberada sindical no debe revelarse sin autorización del interesado bajo ningún concepto","No obstante , la información exacta sobre lo que se le paga a una persona liberada sindical no debe revelarse sin autorización de la persona interesada bajo ningún concepto",dificultades_variadas,neutral_es
el autor de este escrito es Miguel de Cervantes,la autoría de este escrito es Miguel de Cervantes,dificultades_variadas,neutral_es
Ayer vimos en la fiesta a las médicas y sus maridos,Ayer vimos en la fiesta al personal médico y sus parejas,dificultades_variadas,neutral_es
la tía de mi amiga es bombero,la tía de mi amiga es bombera,feminizar_profesiones,human_combinatory
Es importante que los padres participen activamente en la crianza y el cuidado de los niños.,s importante que las madres y los padres participen activamente en la crianza y el cuidado de los niños.,terminologia,GPT-3.5_fewshot
"Entre los años 2000 y 2006 , el número de abonados del servicio básico de telefonía fija creció al 5% promedio anual.","Entre los años 2000 y 2006 , el número de personas abonadas del servicio básico de telefonía fija creció al 5% promedio anual.",dificultades_variadas,neutral_es
Otro campo de acción importante han sido los hospitales privados donde se trabaja con los enfermeros codo con codo,Otro campo de acción importante han sido los hospitales privados donde se trabaja con el personal sanitario codo con codo,dificultades_variadas,neutral_es
Los médicos realizaron cirugías de emergencia durante toda la noche.,Se realizaron cirugías de emergencia durante toda la noche.,omision,GPT-3.5_fewshot
los clientes deberá acudir a recepción en primer lugar.,la clientela deberá acudir a recepción en primer lugar.,dificultades_variadas,neutral_es
Los intermediarios de la negociación se ocuparán también de saber si el local tiene todas sus cuentas al día y si no hay cargas,Las personas intermediarias de la negociación se ocuparán también de saber si el local tiene todas sus cuentas al día y si no hay cargas,dificultades_variadas,neutral_es
Los bailarines españoles son apasionados y expresivos en sus movimientos.,La comunidad de bailarines y bailarinas españoles es apasionada y expresiva en sus movimientos.,plural_complejo,GPT-3.5_fewshot
la hermana de Daniel es muy buena recepcionista,la hermana de Daniel es muy buena recepcionista,feminizar_profesiones,human_combinatory
Las legisladoras Manuela Sánchez y Francisca Gutiérrez aprobaron nuevas leyes de medio ambiente,Las legisladoras Manuela Sánchez y Francisca Gutiérrez aprobaron nuevas leyes de medio ambiente,nombres_propios,GPT-3.5_fewshot
"En consecuencia , el premio se repartirá a las candidatas seleccionadas tras acabar la prueba","En consecuencia , el premio se repartirá a las candidaturas seleccionadas tras acabar la prueba",dificultades_variadas,neutral_es
Los japoneses son aficionados al sushi,En Japón hay mucha afición por el sushi.,culturas,GPT-3.5_fs_multiplication
Aprecio que seáis vosotros quienes de vez en cuando me lea algo,Aprecio que alguna persona de vez en cuando me lea algo,dificultades_variadas,neutral_es
El gobernador Sánchez gestionó recursos para infraestructura.,El gobernador Sánchez gestionó recursos para infraestructura.,nombres_propios,GPT-3.5_fewshot
Muchos dudan si votarán o no,La mayoría duda si votará o no,persona_generica,guia_MX
Dichos empleados recibirán capacitación adicional.,Tales empleados recibirán capacitación adicional.,persona_generica,GPT-3.5_fewshot
Me gusta que seáis vosotros quienes de vez en cuando me lea algo,Me gusta que alguna persona de vez en cuando me lea algo,dificultades_variadas,neutral_es
"Cuando los beneficiarios de una asignación por invalidez no reúna las condiciones, se procederá a su expulsión","Cuando las personas beneficiarias de una asignación por invalidez no reúna las condiciones, se procederá a su expulsión",dificultades_variadas,neutral_es
Los participantes aprobaron el resultado,La mayoría aprobó el resultado,persona_generica,guia_ONU
Va dirigido a los estudiantes de último curso,Va dirigido a estudiantes de último curso,dificultades_variadas,neutral_es
Anímate hazte socio y forma parte de nuestra asociación,Anímate asóciate y forma parte de nuestra asociación,dificultades_variadas,neutral_es
Nerea era una fantástica farmacéutica,Nerea era una fantástica farmacéutica,feminizar_profesiones,human_combinatory
Los gordos son objeto de burlas en la sociedad.,Las personas con sobrepeso u obesidad son objeto de burlas en la sociedad.,terminologia,GPT-3.5_fewshot
La pintura renacentista es admirada por los italianos,La pintura renacentista es admirada por en Italia,culturas,GPT-3.5_fs_multiplication
Los sordos utilizan lenguaje de señas para comunicarse.,Las personas sordas utilizan lenguaje de señas para comunicarse.,terminologia,GPT-3.5_fewshot
No lo dudes hazte socio y colabora con nuestro proyecto,No lo dudes asóciate y colabora con nuestro proyecto,dificultades_variadas,neutral_es
Cuando uno se confunde al hacer algo,Cuando nos confundimos al hacer algo,omision,guia_MX
Disfruto de que seáis vosotros quienes a veces me reciten algo,Disfruto de que a veces me recitéis algo,dificultades_variadas,neutral_es
Datos del solicitante,Datos la persona solicitante,dificultades_variadas,neutral_es
Se llama a los maestros por orden de entrega.,Se llama al profesorado por orden de entrega.,dificultades_variadas,neutral_es
El deudor debe cumplir con sus obligaciones financieras para mantener su crédito en buen estado.,La persona deudora debe cumplir con sus obligaciones financieras para mantener su crédito en buen estado.,terminologia,GPT-3.5_fewshot
La moda contemporánea de los franceses es muy influyente,La moda contemporánea francesa es muy influyente,culturas,GPT-3.5_fewshot
Los trabajadores se esfuerzan por mejorar sus condiciones laborales.,El personal laboral se esfuerza por mejorar sus condiciones laborales.,plurales,GPT-3.5_CaDi
Aún no existen estudios determinantes de por qué algunos tienen reacciones alérgicas,Aún no existen estudios determinantes de por qué ciertas personas tienen reacciones alérgicas,dificultades_variadas,neutral_es
El equipo que no esté disponible para la reunión no será considerado en las decisiones,El equipo que no esté disponible para la reunión no será considerado en las decisiones,parafrasis,GPT-3.5_fewshot
Los italianos son conocidos por su amor por la pasta,Italia es conocida por el amor por la pasta que tienen sus habitantes.,culturas,GPT-3.5_fs_multiplication
El ministro Rodríguez anunció cambios en el sistema judicial.,El ministro Rodríguez anunció cambios en el sistema judicial.,nombres_propios,GPT-3.5_fewshot
"Bienvenidos a nuestro diccionario náutico , pequeño pero multilateral","Bienvenida y bienvenido a nuestro diccionario náutico , pequeño pero multilateral",dificultades_variadas,neutral_es
Asistieron unos quinientos asistentes,Asistieron quinientos asistentes,dificultades_variadas,neutral_es
Mañana nos mudamos; tengo ganas de conocer a las vecinas,Mañana nos mudamos; tengo ganas de conocer el vecindario,dificultades_variadas,neutral_es
Se ha incrementado el número de formadores admitidos,Se ha incrementado el número de profesorado admitido,dificultades_variadas,neutral_es
"Si la encargada realiza la reclamación , se devolverá el dinero en un corto plazo","Si se realiza la reclamación , se devolverá el dinero en un corto plazo",dificultades_variadas,neutral_es
Hay que respetar las ideas de las demás,Hay que respetar las ideas de la gente,dificultades_variadas,neutral_es
Los biólogos estudian la vida en sus diferentes formas.,Los biólogos y biólogas estudian la vida en sus diferentes formas.,plural_complejo,GPT-3.5_fs_multiplication
Habitualmente los equipos de trabajo funcionan únicamente como vehículo para que alguno pueda hacerse con el control,Habitualmente los equipos de trabajo funcionan únicamente como vehículo para que cierta persona pueda hacerse con el control,dificultades_variadas,neutral_es
Los demandantes presentan una demanda ante el tribunal por daños.,La parte demandante presenta una demanda ante el tribunal por daños.,plurales,GPT-3.5_CaDi
"aquella que quiera hablar , que lo haga ahora o que calle para siempre","quien quiera hablar , que lo haga ahora o que calle para siempre",dificultades_variadas,neutral_es
Los solistas cautivaron al público con su interpretación en solitario.,Las y los solistas cautivaron al público con su interpretación en solitario.,plurales,GPT-3.5_CaDi
Los ingenieros están diseñando un nuevo sistema de transporte público.,Las y los ingenieros están diseñando un nuevo sistema de transporte público.,plural_complejo,GPT-3.5_fs_multiplication
"Entre los años 2000 y 2006 , el número de asociados del servicio básico de telefonía fija creció al 5% promedio anual.","Entre los años 2000 y 2006 , el número de personas asociadas del servicio básico de telefonía fija creció al 5% promedio anual.",dificultades_variadas,neutral_es
La mayoría de los empleados disfrutan de su trabajo.,La mayoría del personal disfruta de su trabajo.,plural_complejo,GPT-3.5_fewshot
los alumnos han presentado una queja a las profesoras en los exámenes finales. Los representantes estudiantiles son los alumnos Juanju y Javi.,el alumnado ha presentado una queja al profesorado en los exámenes finales. Los representantes estudiantiles son los alumnos Juanju y Javi.,dificultades_variadas,neutral_es
ninguno entra por la puerta,nadie entra por la puerta,dificultades_variadas,neutral_es
Los científicos están analizando muestras de suelo para entender la composición del sustrato.,La comunidad científica está analizando muestras de suelo para entender la composición del sustrato.,plurales,GPT-3.5_CaDi
Los profesores están impartiendo clases de matemáticas en el instituto.,Las profesoras y profesores están impartiendo clases de matemáticas en el instituto.,plural_complejo,GPT-3.5_fs_multiplication
Los participantes no aprobaron el resultado,Ningún participante aprobó el resultado,persona_generica,guia_ONU
